symbole_1,symbole_2,correlation
RMS,FCMC,1.0
RMS,ODET,1.0
RMS,DPAM,-1.0
RMS,MALT,-1.0
RMS,RBT,1.0
RMS,FORE,-1.0
RMS,AREIT,-1.0
RMS,MC,1.0
RMS,CDI,1.0
FCMC,ODET,1.0
FCMC,DPAM,-1.0
FCMC,MALT,-0.9999999999999999
FCMC,RBT,1.0
FCMC,FORE,-0.9999999999999998
FCMC,AREIT,-1.0
FCMC,MC,0.9999999999999999
FCMC,CDI,0.9999999999999998
ODET,DPAM,-1.0000000000000002
ODET,MALT,-1.0
ODET,RBT,0.9999999999999999
ODET,FORE,-0.9999999999999999
ODET,AREIT,-1.0
ODET,MC,1.0
ODET,CDI,1.0
DPAM,MALT,1.0
DPAM,RBT,-1.0000000000000002
DPAM,FORE,1.0
DPAM,AREIT,1.0
DPAM,MC,-1.0000000000000002
DPAM,CDI,-1.0
MALT,RBT,-1.0
MALT,FORE,1.0
MALT,AREIT,1.0
MALT,MC,-1.0
MALT,CDI,-1.0
RBT,FORE,-1.0
RBT,AREIT,-1.0
RBT,MC,1.0
RBT,CDI,0.9999999999999998
FORE,AREIT,1.0
FORE,MC,-1.0
FORE,CDI,-1.0
AREIT,MC,-1.0
AREIT,CDI,-1.0
MC,CDI,1.0
