symbol_1,symbol_2,correlation
STF,ANTIN,1.0000000000000002
SAMS,XIL,1.0000000000000002
AIR,74SW,-1.0000000000000002
IPS,AURE,1.0000000000000002
SEFER,ANTIN,-1.0000000000000002
SELER,ANTIN,-1.0000000000000002
CS,CRSU,1.0000000000000002
GJAJ,CAF,-1.0000000000000002
TE,ANTIN,-1.0000000000000002
PUB,FREY,-1.0000000000000002
BUR,XFAB,-1.0000000000000002
ABVX,74SW,-1.0000000000000002
TERBS,ANTIN,1.0000000000000002
GLO,CAF,1.0000000000000002
RBO,COVH,-1.0000000000000002
SGO,CDA,1.0000000000000002
DPAM,FREY,-1.0000000000000002
MONT,VIL,-1.0000000000000002
TKTT,ANTIN,1.0000000000000002
CBOT,XFAB,1.0000000000000002
SCR,COVH,-1.0000000000000002
CCN,XFAB,1.0000000000000002
DBG,CRSU,1.0000000000000002
NRO,VANTI,-1.0000000000000002
VACBS,CDA,1.0000000000000002
HDP,FMONC,-1.0000000000000002
BSD,XFAB,1.0000000000000002
CIV,XFAB,1.0000000000000002
PARP,CAF,1.0000000000000002
SWP,ANTIN,1.0000000000000002
BOI,FDJU,-1.0000000000000002
RXL,COVH,1.0000000000000002
CAT31,XFAB,-1.0000000000000002
DSY,VACBS,1.0000000000000002
IMDA,CAF,1.0000000000000002
FCMC,AELIS,-1.0000000000000002
CDI,FGR,-1.0000000000000002
CAF,BLC,1.0000000000000002
SW,EQS,-1.0000000000000002
IVA,FLY,1.0000000000000002
SFPI,EQS,1.0000000000000002
OPM,CAF,1.0000000000000002
TVRB,ANTIN,1.0000000000000002
IAM,FMONC,1.0000000000000002
BAIN,FR,1.0000000000000002
BOL,DEC,1.0000000000000002
MMT,AURE,1.0000000000000002
SIGHT,EQS,1.0000000000000002
EEM,CRSU,-1.0000000000000002
VIE,ANTIN,1.0000000000000002
OR,EMEIS,1.0000000000000002
LACR,CAF,1.0000000000000002
ICAD,CAF,1.0000000000000002
VIV,ANTIN,1.0000000000000002
COVH,AELIS,-1.0000000000000002
EOS,EXA,-1.0000000000000002
LBIRD,CAF,1.0000000000000002
FMONC,AELIS,-1.0000000000000002
CIV,FDJU,1.0000000000000002
OSE,FORSE,1.0000000000000002
DPAM,AELIS,-1.0000000000000002
VRAP,ANTIN,1.0000000000000002
LIN,CAF,1.0000000000000002
LNA,CAF,1.0000000000000002
LOCAL,CAF,1.0000000000000002
TFF,DKUPL,-1.0000000000000002
EFG,74SW,-1.0000000000000002
AREIT,FDE,1.0000000000000002
OR,VRAP,1.0000000000000002
SAVE,CAF,1.0000000000000002
OREGE,VRAP,1.0000000000000002
SBT,CAF,-1.0000000000000002
SCHP,CAF,1.0000000000000002
PLX,EXPL,1.0000000000000002
BNP,74SW,1.0000000000000002
EN,FMONC,-1.0000000000000002
ANTIN,ERA,1.0000000000000002
PAT,VRAP,1.0000000000000002
ONWD,AURE,-1.0000000000000002
BON,74SW,1.0000000000000002
BSD,74SW,1.0000000000000002
BUR,74SW,-1.0000000000000002
EXE,EXA,-1.0000000000000002
CAF,74SW,1.0000000000000002
IVA,CRSU,-1.0000000000000002
EXENS,EXA,-1.0000000000000002
MEMS,CAF,1.0000000000000002
SAF,EXPL,1.0000000000000002
AB,DEC,-1.0000000000000002
FCMC,EXA,1.0000000000000002
PAR,AURE,1.0000000000000002
AUB,FORSE,1.0000000000000002
ERF,74SW,1.0000000000000002
LOUP,ELEC,1.0000000000000002
SAN,EXPL,1.0000000000000002
INF,AELIS,1.0000000000000002
EXE,74SW,1.0000000000000002
AAA,CDI,-1.0000000000000002
FDE,CRSU,1.0000000000000002
MT,CAF,1.0000000000000002
