symbol_1,symbol_2,correlation
BNJ,CGM,1.0000000000000888
CGM,JDEP,1.0000000000000888
CGM,SHELL,1.0000000000000888
MORE,SPEL,1.000000000000068
CTAC,SPEL,1.000000000000068
ACCB,SPEL,1.0000000000000675
CHSR,ECT,1.0000000000000668
SPA,SPEL,1.0000000000000657
AZRN,SPEL,1.0000000000000657
AUGR,SPEL,1.0000000000000542
CHSR,SPEL,1.0000000000000395
PHXM,SPEL,1.0000000000000393
FORE,SPEL,1.000000000000033
AMPLI,SPEL,1.0000000000000322
CBSM,ECT,1.0000000000000298
AMPLI,ECT,1.0000000000000246
CGM,XIOR,1.0000000000000198
CGM,SYENS,1.0000000000000187
ARTO,TKTT,1.0000000000000178
TEXF,TKTT,1.0000000000000149
AUGR,CHSR,1.0000000000000149
AUGR,PHXM,1.0000000000000147
AKZA,CGM,1.0000000000000135
AUGR,SPA,1.000000000000012
CGM,EXO,1.0000000000000118
GDS,TINC,1.000000000000011
AJAX,ARTO,1.000000000000011
GDS,TEXF,1.000000000000011
CGM,CTAC,1.000000000000011
CGM,UCB,1.0000000000000107
GDS,HOLCO,1.0000000000000093
CGM,VASTB,1.0000000000000089
CGM,CVC,1.0000000000000089
IMMOU,VANTI,1.0000000000000089
CGM,TEXF,1.0000000000000089
ARTE,NAI,1.0000000000000089
REINA,SGRO,1.0000000000000087
AGS,CGM,1.0000000000000078
AMPLI,FORE,1.0000000000000075
CGM,CTPNV,1.0000000000000073
CGM,TOM2,1.0000000000000067
CHSR,FORE,1.0000000000000064
MTRK,PBH,1.000000000000006
BNJ,GJAJ,1.0000000000000058
MMT,PBH,1.0000000000000053
ARTE,FOU,1.0000000000000053
HAVAS,PBH,1.0000000000000053
AGFB,CGM,1.000000000000005
BAR,CGM,1.0000000000000047
CGM,ELI,1.0000000000000044
GREEN,OR,1.0000000000000044
CGM,REN,1.000000000000004
CGM,VIO,1.000000000000004
FOU,NAI,1.0000000000000038
CGM,DIE,1.0000000000000038
TINC,VACBS,1.0000000000000036
CENER,CGM,1.0000000000000036
CGM,GREEN,1.000000000000003
DSCW3,GJAJ,1.0000000000000029
DSCW2,GJAJ,1.0000000000000024
CTAC,SPA,1.0000000000000022
MORE,SPA,1.0000000000000022
FFARM,GREEN,1.000000000000002
FFARM,SGRO,1.000000000000002
FMONC,TERBS,1.000000000000002
ACCB,SPA,1.0000000000000018
HOLCO,SAVE,1.0000000000000016
CGM,GLPG,1.0000000000000016
GREEN,TITAN,1.0000000000000016
SGRO,TITAN,1.0000000000000016
CTAC,PHXM,1.0000000000000013
GDS,LEBL,1.0000000000000013
MORE,PHXM,1.0000000000000013
NACON,VVY,1.000000000000001
HOLCO,VACBS,1.000000000000001
CHSR,VTR,1.000000000000001
PHXM,SPA,1.000000000000001
LEBL,TEXF,1.000000000000001
GDS,VACBS,1.000000000000001
PHXM,VTR,1.0000000000000009
CBSM,SPA,1.0000000000000009
CRAP,GREEN,1.0000000000000009
ACCB,PHXM,1.0000000000000009
CHSR,SPA,1.0000000000000009
ACCB,CHSR,1.0000000000000007
ARTO,VACBS,1.0000000000000004
CGM,NSE,1.0000000000000002
GDS,PERR,1.0000000000000002
EEM,OPTI,1.0000000000000002
CHSR,PHXM,1.0000000000000002
ARTO,TVRB,1.0000000000000002
CGM,IEP,1.0
CGM,PNL,1.0
DISL,VALUE,1.0
ASM,CGM,1.0
DIEG,NOKIA,1.0
BEKB,CGM,1.0
AJAX,GDS,1.0
AZRN,SPA,1.0
DIEG,LOTB,1.0
DIEG,GJAJ,1.0
BFIT,GREEN,1.0
ARTO,LEBL,1.0
ADYEN,CGM,1.0
GREEN,PBH,1.0
DIEG,TFF,1.0
GREEN,LIGHT,1.0
CGM,EAS2P,1.0
DSCW3,EEM,1.0
CGM,MOUR,1.0
ECT,SPEL,1.0
CGM,KBC,1.0
CGM,SOF,1.0
CGM,SIP,1.0
CGM,ROU,1.0
CGM,WHATS,1.0
CGM,UMI,1.0
CGM,UMG,1.0
ABI,CGM,1.0
ACOMO,CGM,1.0
DSCW3,OPTI,1.0
CGM,CRBN,1.0
AALB,CGM,1.0
CGM,RECT,1.0
CGM,DSFIR,1.0
CGM,HEIO,1.0
CGM,FERGR,1.0
CGM,NSI,1.0
CGM,NN,1.0
BFIT,SGRO,1.0
PBH,SGRO,1.0
CGM,QRF,1.0
CGM,SHUR,1.0
CGM,SIFG,1.0
BAMNB,CGM,1.0
GDS,GREEN,1.0
ARTO,CBDG,1.0
DIEG,DISL,1.0
CGM,INGA,1.0
INPST,SGRO,1.0
BTLS,CGM,1.0
DIEG,NACON,1.0
DSCW3,PAY,1.0
ALLFG,CGM,1.0
CGM,DGB,1.0
CGM,TUB,1.0
CGM,GBLB,1.0
ARTO,GREEN,1.0
CGM,FUR,1.0
CGM,HEIA,1.0
ARTO,TEXF,1.0
ARTO,TINC,1.0
LIGHT,SGRO,1.0
CGM,PHIA,1.0
CGM,VLK,0.9999999999999999
ASRNL,CGM,0.9999999999999999
CGM,HEIJM,0.9999999999999999
CGM,MORE,0.9999999999999999
CGM,VTA,0.9999999999999999
OPTI,PAY,0.9999999999999999
CGM,PREVA,0.9999999999999999
CFEB,CGM,0.9999999999999999
BANI,CGM,0.9999999999999999
AZE,CGM,0.9999999999999999
DSCW2,EEM,0.9999999999999999
CGM,FLOB,0.9999999999999999
CGM,QFG,0.9999999999999999
CGM,NYXH,0.9999999999999999
GREEN,INPST,0.9999999999999999
CGM,EKOP,0.9999999999999999
AJAX,CGM,0.9999999999999999
AGN,CGM,0.9999999999999998
EEM,PAY,0.9999999999999998
CGM,OXUR,0.9999999999999998
CGM,KIN,0.9999999999999998
DSCW2,PAY,0.9999999999999998
CGM,DEME,0.9999999999999998
CGM,SEQUA,0.9999999999999998
FIPP,TAYN,0.9999999999999998
DSCW2,OPTI,0.9999999999999998
DSCW2,DSCW3,0.9999999999999998
CGM,PROX,0.9999999999999998
CGM,VAN,0.9999999999999998
ARCAD,CGM,0.9999999999999998
CGM,KBCA,0.9999999999999998
GJAJ,PREVA,0.9999999999999996
TEXF,TVRB,0.9999999999999996
ARTO,BANI,0.9999999999999994
AELIS,GREEN,0.9999999999999993
GREEN,PARRO,0.9999999999999992
SPA,VTR,0.9999999999999991
AZRN,CHSR,0.999999999999999
AZRN,PHXM,0.9999999999999989
CHSR,CTAC,0.9999999999999988
CHSR,MORE,0.9999999999999988
ARTO,PERR,0.9999999999999988
ARVEN,HOLCO,0.9999999999999987
ARTO,HOLCO,0.9999999999999983
DISL,TRACT,0.9999999999999983
LTA,MIKO,0.9999999999999983
EXPL,HOLCO,0.9999999999999982
BESI,CGM,0.9999999999999981
ALX,NACON,0.999999999999998
CGM,EXM,0.9999999999999977
GJAJ,OPTI,0.9999999999999977
HOLCO,TINC,0.9999999999999977
TKTT,TVRB,0.9999999999999977
GJAJ,TESB,0.9999999999999972
FREY,HOLCO,0.9999999999999972
GJAJ,PAY,0.9999999999999972
CGM,HAVAS,0.9999999999999967
ASML,CGM,0.9999999999999966
ARVEN,TINC,0.9999999999999964
74SW,HOLCO,0.9999999999999963
ARTO,GDS,0.9999999999999963
SAVE,TINC,0.999999999999996
CGM,IMMO,0.999999999999996
EXPL,TINC,0.9999999999999958
FREY,TINC,0.999999999999995
CGM,TWEKA,0.9999999999999948
CGM,HOMI,0.9999999999999948
CGM,TERBS,0.9999999999999942
74SW,TINC,0.9999999999999941
CCEP,CGM,0.999999999999994
CGM,WKL,0.9999999999999938
FORE,PHXM,0.9999999999999937
AMPLI,SPA,0.9999999999999936
AMPLI,PHXM,0.9999999999999927
AMPLI,CHSR,0.9999999999999925
CGM,CMCOM,0.9999999999999921
GREEN,REINA,0.9999999999999911
CGM,MELE,0.9999999999999902
CGM,NEDAP,0.9999999999999899
ECT,FORE,0.9999999999999895
BANI,GDS,0.9999999999999893
AMG,CGM,0.9999999999999888
CGM,KENDR,0.9999999999999888
BPOST,CGM,0.9999999999999883
FORE,SPA,0.9999999999999867
CGM,MTRK,0.999999999999985
CGM,ENRGY,0.9999999999999835
ACKB,CGM,0.9999999999999822
CGM,WDP,0.9999999999999821
CGM,ECMPA,0.9999999999999803
CGM,FER,0.9999999999999803
ASCE,VTA,0.999999999999974
SPEL,VTR,0.9999999999999614
CGM,OCI,0.9999999999999446
ECT,SPA,0.9999999999999343
ECT,PHXM,0.9999999999999335
DIEG,VANTI,0.9999999999999306
CGM,EBUS,0.9999999999999305
CGM,SLIGR,0.9999999999999112
ASCE,CGM,0.9999999999999111
HWK,SPEL,0.9999999307966625
HWK,SPA,0.9999999307965969
CHSR,HWK,0.9999999307965963
HWK,PHXM,0.999999930796596
HWK,VTR,0.9999999179928968
DSFIR,SGRO,0.9999998998457745
INPST,NN,0.9999997796348268
PNL,SGRO,0.9999997233687141
TITAN,TRIO,0.9999986624855988
HEIO,SGRO,0.9999981522616453
HEIJM,WDP,0.9999930374318597
EXM,GREEN,0.9999920730233055
INPST,VAN,0.9999889490609255
BFIT,VCT,0.999986602287383
ECMPA,SGRO,0.9999847673502152
LOTB,VIRI,0.9999845415805725
PBH,STMPA,0.9999831658333684
ERF,PBH,0.9999829953662424
AELIS,FLOW,0.9999828891732193
DEME,UBI,0.9999815089781824
CIV,INPST,0.9999800612235502
HWK,LIN,0.9999779047746615
LIN,SPA,0.9999778245125064
LIGHT,MBWS,0.9999745983361842
LIN,VTR,0.9999709419462857
LIN,SPEL,0.9999689489004159
CHSR,LIN,0.999968948900376
LIN,PHXM,0.9999689489003758
ECMPA,WDP,0.9999649064586859
PVL,RET,0.9999632943081067
KBC,VLK,0.9999627461470595
ENRGY,REINA,0.9999603175550759
ARTO,ELI,0.9999601469249872
ELI,GDS,0.9999601469249763
EBUS,QDT,0.99995672857183
AGFB,PEUG,0.9999562028392283
COTY,SPA,0.9999545940423378
CCEP,NXI,0.9999533924448998
HEIO,MTU,0.9999512679267878
ABO,SAN,0.999950832927206
CRAP,ROU,0.9999495637464187
BFIT,UMG,0.9999491373310728
ARTO,EVS,0.9999474849675358
EVS,GDS,0.9999474849675246
SGRO,SLIGR,0.9999462196925287
CBE,PAT,0.9999417991704432
CO,KIN,0.9999382267352314
ABI,SGRO,0.9999350999262454
INPST,KOF,0.999934150615768
AKZA,BVI,0.9999305604947701
BREB,FORSE,0.9999299805695226
SOF,UBI,0.9999286271673782
ECMPA,HEIJM,0.9999267565121173
NXI,PBH,0.9999252678937433
BUR,COH,0.999921297151668
ERA,TITAN,0.9999185123369446
IDL,NYXH,0.9999110578298983
SGRO,WDP,0.9999089844566988
SGRO,XIOR,0.9999064243429404
ADOC,TITAN,0.9999046251097015
EKOP,OCI,0.9998972998310073
FFARM,VLK,0.9998918319606346
BASS,FFARM,0.9998918319606344
BPOST,PLNW,0.9998883045198368
EDEN,FAST,0.99988775706061
CIV,NN,0.9998876762010469
SOF,SOI,0.9998848270708017
ATO,PBH,0.999875461048068
NN,SCR,0.9998754314083868
FAST,FREY,0.9998737772162871
FAST,SAVE,0.999873777216286
FAST,VACBS,0.9998737772162855
FAST,HOLCO,0.9998737772162842
ARVEN,FAST,0.9998737772162841
EXPL,FAST,0.9998737772162838
FAST,TINC,0.999873777216282
74SW,FAST,0.999873777216282
JDEP,LOTB,0.9998690099328741
LOTB,NRG,0.9998690099328549
EAS2P,LOTB,0.9998690099328483
NN,SGRO,0.999866819553483
MIKO,SHELL,0.9998651884779252
LTA,SHELL,0.9998651884779234
ALTA,FFARM,0.9998619916009933
INPST,SCR,0.9998618853359825
BFIT,CRAV,0.999861661161583
ADYEN,AGFB,0.9998574756724145
DEME,SOF,0.99985738525707
ES,TITAN,0.9998541453346439
HEIJM,SGRO,0.9998528132328545
JEN,SAN,0.9998513942971503
FFARM,MDM,0.9998462829359003
DECB,INPST,0.9998453379780381
TITAN,WLN,0.9998435616225118
INPST,MRN,0.9998411270740912
PARRO,WEHB,0.99983727930899
EMEIS,NSI,0.999831273327913
FFARM,PSAT,0.9998301111039283
FFARM,KBC,0.999830111103927
ALLFG,AYV,0.999829852171905
BIG,PBH,0.9998266146497654
TITAN,TRI,0.9998266146497594
BAMNB,SGRO,0.9998255777229199
ITP,NYXH,0.9998246590148756
OCI,PARRO,0.9998233747307573
BTLS,PARRO,0.9998233747307556
AM,VIO,0.9998230697764334
ABO,JEN,0.9998230518444865
HEIA,PLX,0.9998226280864136
AGS,MF,0.9998225864349143
AC,HEIA,0.9998203744847197
RXL,SOLV,0.999817434959681
FFARM,MTU,0.9998168689250768
GLPG,LIGHT,0.999815579466163
PBH,SESG,0.9998148662392662
ARTO,FAST,0.9998106837455033
FAST,GDS,0.9998106837454922
GDS,KIN,0.9998085391520005
ARTO,KIN,0.9998085391519893
GBT,NSI,0.99980815192379
TINC,VU,0.9998071620014108
HOLCO,VU,0.9998071620014087
CO,ELI,0.9998063309226409
ADYEN,PEUG,0.9998037014708712
CCEP,PBH,0.9998018821179224
EN,INPST,0.9997987136853659
TITAN,WAVE,0.9997972493474244
FFARM,GLO,0.9997871400242118
ECMPA,JCQ,0.9997833047843063
BPOST,GLO,0.9997815759224707
BFIT,DGB,0.9997811627973969
BPOST,FFARM,0.9997792280247033
FERGR,GET,0.9997768911450823
BPOST,MDM,0.9997749321061751
ABO,ORIA,0.999772245231989
BNJ,PREVA,0.9997655658387864
JCQ,XIOR,0.9997617117659044
BUR,ORIA,0.9997584186246128
CDA,NSI,0.9997582540898388
ORA,PBH,0.9997582131919838
FFARM,LSS,0.9997523022043618
AI,TITAN,0.9997518109048095
CMO,DSFIR,0.999747129147047
GDS,SOF,0.9997471022088225
ARTO,SOF,0.9997471022088115
AGN,EKOP,0.9997464832125115
ECMPA,XIOR,0.9997454358914976
BPOST,PSAT,0.9997381746744594
AALB,CA,0.9997339803248457
FLOW,TITAN,0.9997334399526195
OPM,TITAN,0.9997334399526147
PBH,ROU,0.999733439952609
CLARI,NRP,0.999732192182634
FFARM,PLNW,0.9997255398927256
AELIS,BANQ,0.9997239246381702
AELIS,OXUR,0.9997239246381687
GDS,TWEKA,0.9997186400882296
ARTO,TWEKA,0.9997186400882186
ASRNL,FNAC,0.9997171865663604
AALB,ENX,0.9997105155877961
CABKA,COFB,0.9997094824969593
S30,SHUR,0.9997018921179063
ORIA,SAN,0.9997003277118954
CRAP,PROX,0.9996989700236115
SEQUA,TOM2,0.999691149940197
LIGHT,VMX,0.999689105043635
ARTO,BRNL,0.9996850889545594
BRNL,GDS,0.9996850889545483
AGS,AUB,0.999680880503402
ELIS,LIGHT,0.9996684945417745
GAM,PAT,0.9996650102186357
EC,FFARM,0.9996596337302751
AELIS,EBUS,0.999652435728262
BFIT,GEA,0.9996489796719117
ABI,BON,0.9996371639018388
JCQ,WDP,0.9996357513523748
GAM,SAN,0.9996221322447171
LIGHT,SRP,0.9996180820093943
BNB,FGA,0.9996158527825497
BEKB,INPST,0.9996157485353017
DSFIR,S30,0.9996124605891248
DG,MELE,0.9996073181840265
FFARM,NRO,0.9996024283651338
EVS,IDIP,0.9996016036012932
ELI,KIN,0.999599781884645
BPOST,HEIA,0.9995980422758232
DISL,ECONB,0.9995971261503049
DBV,SHELL,0.999584153734189
AELIS,TITAN,0.9995812719842471
CCN,IMCD,0.9995811969557716
EXM,SPEL,0.9995775843673586
EXM,SPA,0.9995775843672929
CHSR,EXM,0.9995775843672925
EXM,PHXM,0.999577584367292
JEN,ORIA,0.9995762693444674
CBDG,SOF,0.9995733473168721
BFIT,ICAD,0.9995730795263301
EBUS,OPM,0.9995717844955888
ABO,GAM,0.9995698584202266
COH,ORIA,0.9995644821428205
FDE,TITAN,0.999564013433605
FDJU,LIGHT,0.9995587553083508
DEME,SOI,0.9995574592488203
ARVEN,FREY,0.9995558516325452
ARVEN,EXPL,0.9995558516325441
GLO,HEIA,0.9995535934349695
EDEN,HOLCO,0.9995532252966836
EDEN,TINC,0.9995532252966811
ADYEN,GET,0.9995521813335684
ABI,VIRP,0.9995502942105075
BNB,CAF,0.9995478028091701
OCI,RF,0.9995452592985675
FFARM,HEIO,0.9995451795961601
CBDG,DEME,0.9995450557071257
HEIJM,JCQ,0.9995435297108088
FAST,VU,0.9995414310069741
AZE,NK,0.999541098319747
ARTO,EXO,0.9995386389604518
EXO,GDS,0.9995386389604358
NRP,VU,0.9995364053510484
BAR,FFARM,0.9995354662240886
AELIS,TRIO,0.9995326090487743
GAM,ORIA,0.9995305783895426
COMB,ELIS,0.999529790119344
EVS,XIL,0.9995264581142361
WDP,XIOR,0.9995244521134989
ALFEN,XIL,0.9995127586013662
