,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
74SW,38.9,38.9,39.3,39.13333333333333,-0.7653061224489904,0.9000859414153313,-0.15000000000000435,3.0
AAA,3.76,3.76,3.96,3.893333333333333,-5.0505050505050555,3.5712463696290273,-0.10000000000000006,3.0
AALB,28.62,28.62,30.32,29.47,-5.606860158311344,,0.0,2.0
AB,1.23,1.204,1.23,1.2133333333333334,1.9900497512437827,1.6442395828156116,0.012000000000000014,3.0
ABCA,5.85,5.85,5.98,5.926666666666667,-2.1739130434782736,0.8336789148921,-0.06500000000000027,3.0
ABEO,9.18,9.18,9.38,9.253333333333332,-2.1321961620469194,1.2032024630276448,-0.10000000000000113,3.0
ABI,51.38,51.38,53.76,52.57,-4.427083333333325,,0.0,2.0
ABLD,4.8,4.5,4.8,4.6000000000000005,6.6666666666666625,4.714045207910316,0.1499999999999992,3.0
ABN,25.08,24.56,25.08,24.82,2.117263843648207,,0.0,2.0
ABNX,3.545,2.875,3.545,3.1199999999999997,20.578231292517007,18.041993697905905,0.3024999999999999,3.0
ABO,6.25,6.2,6.25,6.216666666666666,0.8064516129032229,0.5702474041826991,0.02500000000000016,3.0
ABVX,71.5,68.7,71.5,69.73333333333333,3.6231884057971016,3.1893867663543594,1.2500000000000004,3.0
AC,40.85,40.85,42.78,41.99666666666667,-3.564683663833801,3.891177056484034,-0.7549999999999966,3.0
ACA,15.515,15.51,15.69,15.571666666666667,0.03223726627982451,1.6093055169335533,0.002499999999999674,3.0
ACAN,0.311,0.311,0.315,0.3133333333333333,-0.9554140127388543,1.1231066153514089,-0.001499999999999964,3.0
ACCB,0.026,0.026,0.026,0.026,0.0,,0.0,2.0
ACKB,221.4,221.4,223.2,222.3,-0.8064516129032182,,0.0,2.0
ACOMO,22.65,22.1,22.65,22.375,2.488687782805417,,0.0,2.0
AD,34.21,34.21,34.25,34.230000000000004,-0.11678832116788072,,0.0,2.0
ADOC,8.19,8.19,8.91,8.626666666666665,-8.080808080808088,3.7199353161752082,-0.3600000000000001,3.0
ADP,110.8,110.8,113.2,111.86666666666667,-0.7168458781361982,2.5129394835283283,-0.4000000000000111,3.0
ADYEN,1394.4,1394.4,1442.6,1418.5,-3.341189518924152,,0.0,2.0
AED,63.6,63.6,65.05,64.325,-2.2290545734050666,,0.0,2.0
AELIS,1.075,1.075,1.275,1.1933333333333334,-12.601626016260164,13.678847106167314,-0.0774999999999999,3.0
AF,12.785,12.785,13.63,13.288333333333332,-4.944237918215607,5.33006467902016,-0.3325000000000009,3.0
AFME,1.47,1.47,1.5675,1.5225,-6.220095693779899,1.0813247521663252,-0.04875000000000004,3.0
AGFB,1.002,1.002,1.098,1.05,-8.74316939890711,,0.0,2.0
AGN,6.544,6.544,6.736,6.64,-2.8503562945368195,,0.0,2.0
AGS,58.55,58.55,60.65,59.599999999999994,-3.4624896949711483,,0.0,2.0
AI,175.74,175.74,177.4,176.55333333333337,-0.44187627464310053,1.014178877532244,-0.3899999999999914,3.0
AIR,184.7,178.62,184.7,180.85999999999999,3.0346982037264296,2.659356100366324,2.719999999999997,3.0
AJAX,9.58,9.58,9.62,9.6,-0.415800415800407,,0.0,2.0
AKE,58.75,58.75,61.3,60.10333333333333,-2.5058081646199772,4.161835440434376,-0.754999999999996,3.0
AKW,7.88,7.88,8.02,7.966666666666666,-1.745635910224435,0.8843243161223322,-0.06999999999999942,3.0
AKZA,59.0,59.0,59.32,59.16,-0.539447066756575,,0.0,2.0
