symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
74SW,38.8,38.9,39.3,38.8,39.06666666666666,-0.25706940874036355,0.7333439380448712,0.011428571428572464,6
AAA,4.05,3.66,4.05,3.66,3.891666666666667,10.655737704918025,2.213949839287754,0.0728571428571428,6
AALB,30.22,29.32,30.32,28.62,29.619999999999997,3.0695770804911273,4.337587419130961,0.4399999999999912,4
AB,1.218,1.196,1.23,1.196,1.2083333333333333,1.8394648829431453,1.8682713362553836,0.000857142857142895,6
ABCA,5.93,6.03,6.03,5.85,5.949166666666666,-1.6583747927031596,1.7462840205699472,-0.003000000000000492,6
ABEO,9.12,9.24,9.38,9.12,9.22,-1.2987012987013093,1.7080227885120007,-1.0331200978550478e-15,6
ABI,53.46,51.28,53.76,51.28,52.47,4.251170046801871,2.804561255813777,0.8919999999999938,4
ABLD,4.48,4.8,4.8,4.48,4.613333333333333,-6.666666666666654,3.1658323390438383,-0.06857142857142838,6
ABN,24.6,25.04,25.08,24.56,24.82,-1.7571884984025468,1.290188651735492,-0.18400000000000333,4
ABNX,2.315,3.67,3.67,2.315,3.130166666666667,-36.920980926430516,16.685499065142533,-0.2293999999999999,6
ABO,6.3,1.64,6.3,1.64,5.465,284.1463414634147,125.62282662597678,0.661428571428571,6
ABVX,68.8,76.5,76.5,68.7,70.55,-10.065359477124186,3.041497921420193,-1.3114285714285736,6
AC,42.93,40.91,42.93,40.85,42.035,4.9376680518210785,2.2442791445523724,0.4065714285714295,6
ACA,15.56,15.69,15.69,15.51,15.598333333333334,-0.8285532186105736,0.8945072940717562,-0.020857142857143282,6
ACAN,0.31,0.302,0.315,0.302,0.3106666666666667,2.6490066225165587,1.7348297404952195,0.0013142857142857173,6
ACCB,0.0275,0.0265,0.0275,0.026,0.0265,3.7735849056603805,3.9887069961211052,0.00029999999999999634,4
ACKB,222.4,223.8,223.8,221.4,222.70000000000002,-0.6255585344057218,0.9519020725644813,-0.24000000000003094,4
ACOMO,21.9,23.06,23.06,21.9,22.427500000000002,-5.030355594102343,0.7643479036380956,-0.40300000000000086,4
AD,34.33,34.76,34.76,34.21,34.3875,-1.2370540851553502,1.016384893575145,-0.12500000000000427,4
ADOC,7.62,8.03,8.91,7.62,8.315,-5.105853051058522,9.072165035704554,-0.008857142857142935,6
ADP,113.3,111.8,113.3,110.8,112.16666666666667,1.341681574239714,1.4537887876053397,0.25714285714285,6
ADYEN,1433.0,1386.4,1442.6,1386.4,1414.1,3.361223312175412,2.1145645665100092,18.79999999999962,4
AED,65.7,62.7,65.7,62.7,64.2625,4.784688995215311,0.6510786470305331,1.0449999999999906,4
AELIS,1.225,1.016,1.275,1.016,1.1642,20.570866141732292,9.792215814782683,0.057299999999999976,5
AF,13.685,13.176,13.685,12.785,13.364333333333335,3.8630843958712835,3.667225001315072,0.12485714285714337,6
AFME,1.595,1.45,1.62,1.45,1.53875,10.000000000000002,3.439211795961656,0.03164285714285702,6
AGFB,1.077,0.987,1.098,0.987,1.041,9.118541033434648,5.900004047276073,0.03659999999999992,4
AGN,6.722,6.476,6.736,6.476,6.6195,3.798641136504022,1.5812746200753187,0.09299999999999933,4
AGS,60.2,58.4,60.65,58.4,59.45,3.0821917808219252,2.2665138061335663,0.7499999999999895,4
AI,178.06,175.38,178.06,175.38,176.62333333333333,1.5281103888698866,0.5953873735247057,0.42800000000000743,6
AIR,178.26,183.84,184.7,178.26,180.65333333333334,-3.0352480417754637,1.5538903517430267,-1.245714285714284,6
AJAX,9.6,9.58,9.62,9.58,9.595,0.2087682672233776,0.31852011258326635,0.009999999999998122,4
AKE,61.4,57.36,61.4,57.36,59.928333333333335,7.043235704323569,2.26274798066322,0.6837142857142845,6
AKW,8.1,7.98,8.1,7.88,7.998333333333334,1.5037593984962307,1.055382288235958,0.0294285714285708,6
AKZA,59.06,60.36,60.36,59.0,59.435,-2.1537442014579145,1.4183515252611194,-0.3580000000000111,4
ALDV,0.088,0.088,0.088,0.088,0.088,0.0,0.0,-9.073767696601352e-18,4
