symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
74SW,38.8,38.5,39.3,38.5,38.9875,0.7792207792207718,0.7984626069273726,0.05595238095238276,8
AAA,4.05,3.57,4.05,3.56,3.81,13.445378151260504,2.0531574596094244,0.07690476190476207,8
AALB,30.22,29.3,30.32,28.62,29.55333333333333,3.1399317406143283,3.167913008905037,0.17828571428571194,6
AB,1.218,1.206,1.23,1.194,1.20625,0.9950248756218913,1.6091203440122506,0.0014047619047619928,8
ABCA,5.93,5.92,6.03,5.85,5.941875,0.16891891891891533,1.641074548917193,0.002916666666667102,8
ABEO,9.12,9.52,9.6,9.12,9.305,-4.201680672268911,2.011669860083808,-0.047619047619047436,8
ABI,53.46,50.68,53.76,50.63,51.865,5.485398579321234,2.092507475238453,0.6682857142857125,6
ABLD,4.48,4.8,4.9,4.48,4.672499999999999,-6.666666666666654,2.92117919770269,-0.06119047619047587,8
ABN,24.6,25.28,25.47,24.56,25.005,-2.689873417721518,1.257132475500778,-0.17400000000000054,6
ABNX,2.315,3.77,3.77,2.315,3.214625,-38.59416445623342,16.868311464005455,-0.15103571428571416,8
ABO,6.3,1.65,6.3,1.64,4.51,281.8181818181818,106.23468689503713,0.821190476190476,8
ABVX,68.8,76.4,76.5,68.7,71.875,-9.947643979057602,2.8323715510822485,-1.3166666666666622,8
AC,42.93,41.59,42.93,40.85,41.8925,3.2219283481606062,2.03789044144458,0.24785714285714502,8
ACA,15.56,16.066,16.066,15.51,15.6995,-3.1495082783517896,0.9105581199651841,-0.06799999999999835,8
ACAN,0.31,0.308,0.315,0.302,0.309875,0.6493506493506499,1.6410599441419018,0.0009880952380952577,8
ACCB,0.0275,0.0265,0.0275,0.0255,0.026333333333333334,3.7735849056603805,3.97535509758387,0.0001714285714285723,6
ACKB,222.4,227.5,227.5,221.4,224.25,-2.2417582417582396,0.8926454014662994,-1.1400000000000063,6
ACOMO,21.9,23.16,23.2,21.9,22.67833333333333,-5.440414507772028,1.015867681291855,-0.28600000000000025,6
AD,34.33,34.575,34.76,34.21,34.45416666666667,-0.7086044830079667,0.8206291244672164,-0.08071428571428803,6
ADOC,7.62,8.05,8.91,7.62,8.2075,-5.341614906832305,7.775562643143778,0.05380952380952403,8
ADP,113.3,112.5,113.3,110.8,112.1875,0.7111111111111086,1.2234704218696244,0.08928571428572143,8
ADYEN,1433.0,1403.0,1442.6,1386.4,1408.3333333333333,2.138275124732716,1.777938202554512,8.971428571428593,6
AED,65.7,62.96,65.7,62.7,63.85166666666666,4.351969504447271,1.118579455781416,0.5842857142857096,6
AELIS,1.225,1.11,1.275,1.016,1.1372857142857142,10.360360360360358,9.193798806023425,0.03585714285714291,7
AF,13.685,13.438,13.685,12.785,13.35375,1.8380711415389186,3.1489918059015913,0.05530952380952465,8
AFMBS,1.45,1.56,1.56,1.45,1.5,-7.051282051282056,1.2746418057010982,-0.05500000000000013,3
AFME,1.595,1.56,1.62,1.45,1.5353124999999999,2.2435897435897383,3.9381931163418855,0.01431547619047634,8
AGFB,1.077,0.93,1.098,0.93,1.0099166666666666,15.806451612903217,4.209712931673274,0.03278571428571421,6
AGIL,3.0,3.0,3.0,3.0,3.0,0.0,0.0,-3.14018491736755e-16,2
AGN,6.722,6.55,6.736,6.47,6.582999999999999,2.6259541984732917,1.5694340629384174,0.049314285714285,6
AGS,60.2,58.9,60.65,58.4,59.21999999999999,2.2071307300509413,1.7912481230418715,0.3639999999999966,6
AI,178.06,176.98,178.06,175.38,176.70499999999998,0.6102384450220435,0.6566673692132383,0.1309523809523991,8
