name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,39.9,2025-08-22,39.9,1359.0,53987.0,AXW,SMART,38.8,CLOSE_TICKER,,,,,38.8,2025-08-28T21:15:28.736027,OK,ISIN:FR0011040500->AXW@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.29,2025-08-22,1.29,159599.0,206305.066,AB,SMART,1.218,CLOSE_TICKER,,,,,1.218,2025-08-28T21:15:29.855341,OK,ISIN:FR0010557264->AB@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-08-22,-,,,,,,,,,,,,,CONTRACT_NOT_FOUND,BLACKLISTED_ISIN:FR001400ZRT0,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.05,2025-08-22,6.05,36212.0,219266.27,ABCA,SMART,5.93,CLOSE_TICKER,,,,,5.93,2025-08-28T21:15:30.866884,OK,ISIN:FR0004040608->ABCA@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.4,2025-08-22,9.4,159.0,1503.6,ABEO,SMART,9.12,CLOSE_TICKER,,,,,9.12,2025-08-28T21:15:31.987856,OK,ISIN:FR0013185857->ABEO@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,2.1,2025-08-22,2.1,539152.0,1120419.933,ABNX,SMART,2.315,CLOSE_TICKER,,,,,2.315,2025-08-28T21:15:33.098440,OK,ISIN:FR0012616852->ABNX@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,66.5,2025-08-22,66.5,111888.0,7331966.2,ABVX,SMART,68.8,CLOSE_TICKER,,,,,68.8,2025-08-28T21:15:34.218609,OK,ISIN:FR0012333284->ABVX@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.48,2025-08-22,4.48,11.0,49.3,ABLD,SMART,4.48,CLOSE_TICKER,,,,,4.48,2025-08-28T21:15:35.332255,OK,ISIN:FR001400AHX6->ABLD@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.3,2025-08-22,6.3,1164.0,7327.35,ABO1,SMART,6.3,CLOSE_TICKER,,,,,6.3,2025-08-28T21:15:36.405030,OK,ISIN:BE0974278104->ABO1@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.315,2025-08-22,0.315,37136.0,11494.201,ACAN,SMART,0.31,CLOSE_TICKER,,,,,0.31,2025-08-28T21:15:37.510638,OK,ISIN:FR0000064602->ACAN@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ACCOR,FR0000120404,AC,Euronext Paris,EUR,44.76,2025-08-22,44.76,459014.0,20494623.755,AC,SMART,42.93,CLOSE_TICKER,,,,,42.93,2025-08-28T21:15:38.626016,OK,ISIN:FR0000120404->AC@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.2,2025-08-22,1.2,2975.0,3542.78,EOS,SMART,1.145,CLOSE_TICKER,,,,,1.145,2025-08-28T21:15:39.636777,OK,ISIN:FR0000076861->EOS@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-08-22,0.088,350.0,30.8,ALDV,SMART,0.088,CLOSE_TICKER,,,,,0.088,2025-08-28T21:15:40.701973,OK,ISIN:BE0974269012->ALDV@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.9,2025-08-22,8.9,428448.0,3774224.255,ADOC,SMART,7.62,CLOSE_TICKER,,,,,7.62,2025-08-28T21:15:41.804910,OK,ISIN:FR0011184241->ADOC@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
