name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_spread_pct,ibkr_liquidite,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,39.3,2025-08-29,39.3,849.0,33332.5,AXW,SMART,39.3,CLOSE_TICKER,,,,,39.3,,TRES_FAIBLE,2025-08-31T18:11:16.187438,OK,CACHE:ISIN:FR0011040500->AXW@SMART,WEEKEND
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.92,2025-08-29,29.92,225762.0,6775201.56,AALB,SMART,30.32,CLOSE_TICKER,,,,,30.32,,TRES_FAIBLE,2025-08-31T18:11:17.334525,OK,CACHE:ISIN:NL0000852564->AALB@SMART,WEEKEND
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,53.54,2025-08-29,53.54,1033325.0,55318980.18,ABI,SMART,53.76,CLOSE_TICKER,,,,,53.76,,TRES_FAIBLE,2025-08-31T18:11:18.475718,OK,CACHE:ISIN:BE0974293251->ABI@SMART,WEEKEND
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.196,2025-08-29,1.196,111214.0,133423.34,AB,SMART,1.204,CLOSE_TICKER,,,,,1.204,,TRES_FAIBLE,2025-08-31T18:11:19.626462,OK,CACHE:ISIN:FR0010557264->AB@SMART,WEEKEND
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-08-29,-,,,,,,,,,,,,,,,CONTRACT_NOT_FOUND,BLACKLISTED_ISIN:FR001400ZRT0,WEEKEND
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.94,2025-08-29,5.94,26481.0,158099.05,ABCA,SMART,5.95,CLOSE_TICKER,,,,,5.95,,TRES_FAIBLE,2025-08-31T18:11:20.674941,OK,CACHE:ISIN:FR0004040608->ABCA@SMART,WEEKEND
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.2,2025-08-29,9.2,481.0,4427.18,ABEO,SMART,9.2,CLOSE_TICKER,,,,,9.2,,TRES_FAIBLE,2025-08-31T18:11:21.808919,OK,CACHE:ISIN:FR0013185857->ABEO@SMART,WEEKEND
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.41,2025-08-29,3.41,1579605.0,4975720.5475,ABNX,SMART,2.875,CLOSE_TICKER,,,,,2.875,,TRES_FAIBLE,2025-08-31T18:11:22.958617,OK,CACHE:ISIN:FR0012616852->ABNX@SMART,WEEKEND
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,68.7,2025-08-29,68.7,103845.0,7188076.1,ABVX,SMART,68.7,CLOSE_TICKER,,,,,68.7,,TRES_FAIBLE,2025-08-31T18:11:24.108074,OK,CACHE:ISIN:FR0012333284->ABVX@SMART,WEEKEND
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.6,2025-08-29,4.6,12.0,55.1,ABLD,SMART,4.5,CLOSE_TICKER,,,,,4.5,,TRES_FAIBLE,2025-08-31T18:11:25.252927,OK,CACHE:ISIN:FR001400AHX6->ABLD@SMART,WEEKEND
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,24.65,2025-08-29,24.65,2462384.0,60327601.485,ABN,SMART,24.56,CLOSE_TICKER,,,,,24.56,,TRES_FAIBLE,2025-08-31T18:11:26.398144,OK,CACHE:ISIN:NL0011540547->ABN@SMART,WEEKEND
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.2,2025-08-29,6.2,20.0,124.6,ABO1,SMART,6.2,CLOSE_TICKER,,,,,6.2,,TRES_FAIBLE,2025-08-31T18:11:27.538988,OK,CACHE:ISIN:BE0974278104->ABO1@SMART,WEEKEND
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.313,2025-08-29,0.313,44074.0,13725.672,ACAN,SMART,0.315,CLOSE_TICKER,,,,,0.315,,TRES_FAIBLE,2025-08-31T18:11:28.686109,OK,CACHE:ISIN:FR0000064602->ACAN@SMART,WEEKEND
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0275,2025-08-29,0.0275,756450.0,20052.375,ACCB,SMART,0.026,CLOSE_TICKER,,,,,0.026,,TRES_FAIBLE,2025-08-31T18:11:29.815053,OK,CACHE:ISIN:BE0003696102->ACCB@SMART,WEEKEND
ACCOR,FR0000120404,AC,Euronext Paris,EUR,42.27,2025-08-29,42.27,630308.0,26684595.295,AC,SMART,42.78,CLOSE_TICKER,,,,,42.78,,TRES_FAIBLE,2025-08-31T18:11:30.971271,OK,CACHE:ISIN:FR0000120404->AC@SMART,WEEKEND
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.73,2025-08-29,0.73,58905.0,43175.405,AXS,SMART,0.708,CLOSE_TICKER,,,,,0.708,,TRES_FAIBLE,2025-08-31T18:11:32.118626,OK,CACHE:ISIN:GB00BQQFX454->AXS@SMART,WEEKEND
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,221.6,2025-08-29,221.6,40273.0,9032808.3,ACKB,SMART,223.2,CLOSE_TICKER,,,,,223.2,,TRES_FAIBLE,2025-08-31T18:11:33.254954,OK,CACHE:ISIN:BE0003764785->ACKB@SMART,WEEKEND
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,21.9,2025-08-29,21.9,18666.0,410883.6,ACOMO,SMART,22.1,CLOSE_TICKER,,,,,22.1,,TRES_FAIBLE,2025-08-31T18:11:34.392583,OK,CACHE:ISIN:NL0000313286->ACOMO@SMART,WEEKEND
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.16,2025-08-29,1.16,7306.0,8309.73,EOS,SMART,1.145,CLOSE_TICKER,,,,,1.145,,TRES_FAIBLE,2025-08-31T18:11:35.527502,OK,CACHE:ISIN:FR0000076861->EOS@SMART,WEEKEND
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-08-29,0.088,350.0,30.8,ALDV,SMART,0.088,CLOSE_TICKER,,,,,0.088,,TRES_FAIBLE,2025-08-31T18:11:36.563390,OK,CACHE:ISIN:BE0974269012->ALDV@SMART,WEEKEND
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.28,2025-08-29,8.28,479658.0,4203440.11,ADOC,SMART,8.78,CLOSE_TICKER,,,,,8.78,,TRES_FAIBLE,2025-08-31T18:11:37.711528,OK,CACHE:ISIN:FR0011184241->ADOC@SMART,WEEKEND
ADP,FR0010340141,ADP,Euronext Paris,EUR,112.3,2025-08-29,112.3,77071.0,8653415.55,ADP,SMART,113.2,CLOSE_TICKER,,,,,113.2,,TRES_FAIBLE,2025-08-31T18:11:38.862285,OK,CACHE:ISIN:FR0010340141->ADP@SMART,WEEKEND
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,1434.4,2025-08-29,1434.4,59653.0,85735381.9,ADYEN,SMART,1442.6,CLOSE_TICKER,,,,,1442.6,,TRES_FAIBLE,2025-08-31T18:11:40.001039,OK,CACHE:ISIN:NL0012969182->ADYEN@SMART,WEEKEND
AEDIFICA,BE0003851681,AED,"Euronext Brussels, Amsterdam",EUR,65.65,2025-08-29,65.65,99469.0,6526358.725,AED,SMART,65.05,CLOSE_TICKER,,,,,65.05,,TRES_FAIBLE,2025-08-31T18:11:41.135896,OK,CACHE:ISIN:BE0003851681->AED@SMART,WEEKEND
AEGON,BMG0112X1056,AGN,Euronext Amsterdam,EUR,6.722,2025-08-29,6.722,4112498.0,27585920.104,AGN,SMART,6.736,CLOSE_TICKER,,,,,6.736,,TRES_FAIBLE,2025-08-31T18:11:42.279020,OK,CACHE:ISIN:BMG0112X1056->AGN@SMART,WEEKEND
AELIS FARMA,FR0014007ZB4,AELIS,Euronext Paris,EUR,1.15,2025-08-29,1.15,67828.0,79260.9625,AELIS,SMART,1.275,CLOSE_TICKER,,,,,1.275,,TRES_FAIBLE,2025-08-31T18:11:43.318164,OK,CACHE:ISIN:FR0014007ZB4->AELIS@SMART,WEEKEND
