name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_spread_pct,ibkr_liquidite,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,39.3,2025-08-29,39.3,849.0,33332.5,AXW,SMART,39.3,HISTORICAL,,,,,39.3,,,2025-08-31T13:40:31.058436,OK,ISIN:FR0011040500->AXW@SMART,WEEKEND
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.92,2025-08-29,29.92,225762.0,6775201.56,AALB,SMART,30.22,HISTORICAL,,,,,30.22,,,2025-08-31T13:40:32.292919,OK,ISIN:NL0000852564->AALB@SMART,WEEKEND
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,53.54,2025-08-29,53.54,1033325.0,55318980.18,ABI,SMART,53.46,HISTORICAL,,,,,53.46,,,2025-08-31T13:40:33.526246,OK,ISIN:BE0974293251->ABI@SMART,WEEKEND
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.196,2025-08-29,1.196,111214.0,133423.34,AB,SMART,1.196,HISTORICAL,,,,,1.196,,,2025-08-31T13:40:34.774621,OK,ISIN:FR0010557264->AB@SMART,WEEKEND
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-08-29,-,,,,,,,,,,,,,,,CONTRACT_NOT_FOUND,BLACKLISTED_ISIN:FR001400ZRT0,WEEKEND
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.94,2025-08-29,5.94,26481.0,158099.05,ABCA,SMART,5.955,HISTORICAL,,,,,5.955,,,2025-08-31T13:40:35.907224,OK,ISIN:FR0004040608->ABCA@SMART,WEEKEND
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.2,2025-08-29,9.2,481.0,4427.18,ABEO,SMART,9.2,HISTORICAL,,,,,9.2,,,2025-08-31T13:40:37.140790,OK,ISIN:FR0013185857->ABEO@SMART,WEEKEND
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.41,2025-08-29,3.41,1579605.0,4975720.5475,ABNX,SMART,3.436,HISTORICAL,,,,,3.436,,,2025-08-31T13:40:38.380748,OK,ISIN:FR0012616852->ABNX@SMART,WEEKEND
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,68.7,2025-08-29,68.7,103845.0,7188076.1,ABVX,SMART,68.8,HISTORICAL,,,,,68.8,,,2025-08-31T13:40:39.628491,OK,ISIN:FR0012333284->ABVX@SMART,WEEKEND
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.6,2025-08-29,4.6,12.0,55.1,ABLD,SMART,4.6,HISTORICAL,,,,,4.6,,,2025-08-31T13:40:40.877312,OK,ISIN:FR001400AHX6->ABLD@SMART,WEEKEND
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,24.65,2025-08-29,24.65,2462384.0,60327601.485,ABN,SMART,24.6,HISTORICAL,,,,,24.6,,,2025-08-31T13:40:42.119446,OK,ISIN:NL0011540547->ABN@SMART,WEEKEND
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.2,2025-08-29,6.2,20.0,124.6,ABO1,SMART,6.2,HISTORICAL,,,,,6.2,,,2025-08-31T13:40:43.349407,OK,ISIN:BE0974278104->ABO1@SMART,WEEKEND
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.313,2025-08-29,0.313,44074.0,13725.672,ACAN,SMART,0.312,HISTORICAL,,,,,0.312,,,2025-08-31T13:40:44.601297,OK,ISIN:FR0000064602->ACAN@SMART,WEEKEND
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0275,2025-08-29,0.0275,756450.0,20052.375,ACCB,SMART,0.0275,HISTORICAL,,,,,0.0275,,,2025-08-31T13:40:45.850397,OK,ISIN:BE0003696102->ACCB@SMART,WEEKEND
ACCOR,FR0000120404,AC,Euronext Paris,EUR,42.27,2025-08-29,42.27,630308.0,26684595.295,AC,SMART,42.25,HISTORICAL,,,,,42.25,,,2025-08-31T13:40:47.084096,OK,ISIN:FR0000120404->AC@SMART,WEEKEND
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.73,2025-08-29,0.73,58905.0,43175.405,AXS,SMART,0.732,HISTORICAL,,,,,0.732,,,2025-08-31T13:40:48.329417,OK,ISIN:GB00BQQFX454->AXS@SMART,WEEKEND
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,221.6,2025-08-29,221.6,40273.0,9032808.3,ACKB,SMART,222.4,HISTORICAL,,,,,222.4,,,2025-08-31T13:40:53.583955,OK,ISIN:BE0003764785->ACKB@SMART,WEEKEND
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,21.9,2025-08-29,21.9,18666.0,410883.6,ACOMO,SMART,21.9,HISTORICAL,,,,,21.9,,,2025-08-31T13:40:59.583705,OK,ISIN:NL0000313286->ACOMO@SMART,WEEKEND
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.16,2025-08-29,1.16,7306.0,8309.73,EOS,SMART,1.16,HISTORICAL,,,,,1.16,,,2025-08-31T13:41:05.579996,OK,ISIN:FR0000076861->EOS@SMART,WEEKEND
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-08-29,0.088,350.0,30.8,ALDV,SMART,,NO_DATA,,,,,,,,,NO_PRICE_DATA,ISIN:BE0974269012->ALDV@SMART,WEEKEND
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.28,2025-08-29,8.28,479658.0,4203440.11,ADOC,SMART,8.36,HISTORICAL,,,,,8.36,,,2025-08-31T13:41:18.048674,OK,ISIN:FR0011184241->ADOC@SMART,WEEKEND
ADP,FR0010340141,ADP,Euronext Paris,EUR,112.3,2025-08-29,112.3,77071.0,8653415.55,ADP,SMART,112.3,HISTORICAL,,,,,112.3,,,2025-08-31T13:41:19.295886,OK,ISIN:FR0010340141->ADP@SMART,WEEKEND
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,1434.4,2025-08-29,1434.4,59653.0,85735381.9,ADYEN,SMART,1433.4,HISTORICAL,,,,,1433.4,,,2025-08-31T13:41:20.541076,OK,ISIN:NL0012969182->ADYEN@SMART,WEEKEND
AEDIFICA,BE0003851681,AED,"Euronext Brussels, Amsterdam",EUR,65.65,2025-08-29,65.65,99469.0,6526358.725,AED,SMART,65.7,HISTORICAL,,,,,65.7,,,2025-08-31T13:41:21.759963,OK,ISIN:BE0003851681->AED@SMART,WEEKEND
AEGON,BMG0112X1056,AGN,Euronext Amsterdam,EUR,6.722,2025-08-29,6.722,4112498.0,27585920.104,AGN,SMART,6.722,HISTORICAL,,,,,6.722,,,2025-08-31T13:41:23.007721,OK,ISIN:BMG0112X1056->AGN@SMART,WEEKEND
AELIS FARMA,FR0014007ZB4,AELIS,Euronext Paris,EUR,1.15,2025-08-29,1.15,67828.0,79260.9625,AELIS,SMART,1.15,HISTORICAL,,,,,1.15,,,2025-08-31T13:41:24.157747,OK,ISIN:FR0014007ZB4->AELIS@SMART,WEEKEND
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,2.8,2025-08-29,2.8,8.0,22.4,,,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,WEEKEND
AFFLUENT MED BSAR,FR001400FL38,AFMBS,Euronext Paris,EUR,0.0005,2025-08-29,0.0005,130.0,0.06,,,,,,,,,,,,,CONTRACT_NOT_FOUND,NOT_FOUND,WEEKEND
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR,1.62,2025-08-29,1.62,10732.0,17152.54,AFME,SMART,1.62,HISTORICAL,,,,,1.62,,,2025-08-31T13:41:26.783333,OK,ISIN:FR0013333077->AFME@SMART,WEEKEND
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,60.2,2025-08-29,60.2,243950.0,14679218.0,AGS,SMART,60.18,HISTORICAL,,,,,60.18,,,2025-08-31T13:41:28.035564,OK,ISIN:BE0974264930->AGS@SMART,WEEKEND
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,1.07,2025-08-29,1.07,162535.0,175146.618,AGFB,SMART,1.077,HISTORICAL,,,,,1.077,,,2025-08-31T13:41:29.281655,OK,ISIN:BE0003755692->AGFB@SMART,WEEKEND
Agility Capital H,VGG885761301,AGIL,Euronext Amsterdam,USD,2.76,2025-08-29,2.76,4.0,11.04,AGIL,,,NO_DATA,,,,,,,,,NO_PRICE_DATA,NAME:Agility Capital H->AGIL@,WEEKEND
AHOLD DEL,NL0011794037,AD,"Euronext Amsterdam, Brussels",EUR,34.25,2025-08-29,34.25,1535058.0,52602182.36,AD,SMART,34.275,HISTORICAL,,,,,34.275,,,2025-08-31T13:41:31.953269,OK,ISIN:NL0011794037->AD@SMART,WEEKEND
AIR FRANCE -KLM,FR001400J770,AF,"Euronext Paris, Amsterdam",EUR,13.415,2025-08-29,13.415,838243.0,11278928.0975,AF,SMART,13.39,HISTORICAL,,,,,13.39,,,2025-08-31T13:41:33.184105,OK,ISIN:FR001400J770->AF@SMART,WEEKEND
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,176.22,2025-08-29,176.22,476997.0,84111325.56,AI,SMART,176.52,HISTORICAL,,,,,176.52,,,2025-08-31T13:41:34.446927,OK,ISIN:FR0000120073->AI@SMART,WEEKEND
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,179.06,2025-08-29,179.06,773553.0,138541461.61,AIR,SMART,179.42,HISTORICAL,,,,,179.42,,,2025-08-31T13:41:35.694283,OK,ISIN:NL0000235190->AIR@SMART,WEEKEND
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,9.56,2025-08-29,9.56,606.0,5808.54,AJAX,SMART,9.6,HISTORICAL,,,,,9.6,,,2025-08-31T13:41:36.923165,OK,ISIN:NL0000018034->AJAX@SMART,WEEKEND
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,8.0,2025-08-29,8,4238.0,33931.28,AKW,SMART,8.01,HISTORICAL,,,,,8.01,,,2025-08-31T13:41:38.204641,OK,ISIN:FR0000053027->AKW@SMART,WEEKEND
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,59.0,2025-08-29,59,284724.0,16793052.63,AKZA,SMART,59.06,HISTORICAL,,,,,59.06,,,2025-08-31T13:41:39.454210,OK,ISIN:NL0013267909->AKZA@SMART,WEEKEND
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR,3.96,2025-08-29,3.96,1.0,3.96,AAA,SMART,3.96,HISTORICAL,,,,,3.96,,,2025-08-31T13:41:40.733057,OK,ISIN:FR0000062465->AAA@SMART,WEEKEND
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,9.878,2025-08-29,9.878,738275.0,7372037.237,ALFEN,SMART,9.948,HISTORICAL,,,,,9.948,,,2025-08-31T13:41:41.982064,OK,ISIN:NL0012817175->ALFEN@SMART,WEEKEND
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam,EUR,6.0,2025-08-29,6,478376.0,2880208.44,ALLFG,SMART,6.016,HISTORICAL,,,,,6.016,,,2025-08-31T13:41:43.232043,OK,ISIN:GB00BNTJ3546->ALLFG@SMART,WEEKEND
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam,EUR,1.1,2025-08-29,1.1,1563.0,1762.92,AMUND,SMART,1.1,HISTORICAL,,,,,1.1,,,2025-08-31T13:41:44.481618,OK,ISIN:NL0010696704->AMUND@SMART,WEEKEND
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,22.15,2025-08-29,22.15,27342.0,608301.05,CDA,SMART,22.16,HISTORICAL,,,,,22.16,,,2025-08-31T13:41:45.762231,OK,ISIN:FR0000053324->CDA@SMART,WEEKEND
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,20.54,2025-08-29,20.54,710954.0,14583739.2,ALO,SMART,20.59,HISTORICAL,,,,,20.59,,,2025-08-31T13:41:48.052933,OK,ISIN:FR0010220475->ALO@SMART,WEEKEND
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,28.8,2025-08-29,28.8,336.0,9676.8,LTA,SMART,28.8,HISTORICAL,,,,,28.8,,,2025-08-31T13:41:54.038490,OK,ISIN:FR0000053837->LTA@SMART,WEEKEND
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,101.4,2025-08-29,101.4,4434.0,452840.6,ALTA,SMART,101.8,HISTORICAL,,,,,101.8,,,2025-08-31T13:42:00.052943,OK,ISIN:FR0000033219->ALTA@SMART,WEEKEND
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,555.0,2025-08-29,555,1.0,555.0,AREIT,SMART,556.0,HISTORICAL,,,,,556.0,,,2025-08-31T13:42:06.052931,OK,ISIN:FR0000039216->AREIT@SMART,WEEKEND
