name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_bid,ibkr_ask,ibkr_spread,ibkr_spread_pct,ibkr_volume,ibkr_volume_moyenne_10j,ibkr_volume_relatif,ibkr_high_52w,ibkr_low_52w,ibkr_position_52w,ibkr_moyenne_mobile_20,ibkr_distance_mm20,ibkr_price_source,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,39.3,2025-08-29,39.3,849.0,33332.5,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.92,2025-08-29,29.92,225762.0,6775201.56,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,53.54,2025-08-29,53.54,1033325.0,55318980.18,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.196,2025-08-29,1.196,111214.0,133423.34,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-08-29,-,,,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,5.94,2025-08-29,5.94,26481.0,158099.05,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.2,2025-08-29,9.2,481.0,4427.18,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.41,2025-08-29,3.41,1579605.0,4975720.5475,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,68.7,2025-08-29,68.7,103845.0,7188076.1,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.6,2025-08-29,4.6,12.0,55.1,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,24.65,2025-08-29,24.65,2462384.0,60327601.485,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.2,2025-08-29,6.2,20.0,124.6,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.313,2025-08-29,0.313,44074.0,13725.672,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0275,2025-08-29,0.0275,756450.0,20052.375,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ACCOR,FR0000120404,AC,Euronext Paris,EUR,42.27,2025-08-29,42.27,630308.0,26684595.295,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.73,2025-08-29,0.73,58905.0,43175.405,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,221.6,2025-08-29,221.6,40273.0,9032808.3,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,21.9,2025-08-29,21.9,18666.0,410883.6,,,,,,,,,,,,,,,,,,ERROR: name 'chercher_contrat_ibkr' is not defined,,WEEKEND
