name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_price,ibkr_status,ibkr_method,ibkr_liquidite,ibkr_spread_pct,ibkr_volume,ibkr_bid,ibkr_ask,ibkr_last,ibkr_close
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,38.9,2025-09-05,38.9,2190.0,85074.5,38.9,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,29.32,2025-09-05,29.32,225823.0,6619266.3,29.32,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,51.32,2025-09-05,51.32,1244799.0,63820657.61,51.28,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,1.196,2025-09-05,1.196,105067.0,126659.836,1.196,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
AB SCIENCE BSA,FR001400ZRT0,ABBS,Euronext Paris,EUR,0.274,2025-09-05,0.0,0.0,0.0,,NOT_FOUND,NOT_FOUND,,,,,,,
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.03,2025-09-05,6.03,32796.0,197901.66,6.03,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,9.24,2025-09-05,9.24,533.0,4798.86,9.24,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,3.67,2025-09-05,3.67,409885.0,1484408.65,3.67,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,76.5,2025-09-05,76.5,155174.0,11379305.6,76.5,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,4.8,2025-09-05,4.8,82.0,387.68,4.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,25.04,2025-09-05,25.04,2023747.0,51072783.73,25.04,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,6.2,2025-09-05,6.2,200.0,1240.0,1.64,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.302,2025-09-05,0.302,9000.0,2764.938,0.302,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0265,2025-09-05,0.0265,26510.0,699.26,0.0265,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCOR,FR0000120404,AC,Euronext Paris,EUR,40.91,2025-09-05,40.91,606879.0,24828048.64,40.91,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.751,2025-09-05,0.751,221449.0,168005.687,0.739,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,224.4,2025-09-05,224.4,19291.0,4325474.0,223.8,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,23.05,2025-09-05,23.05,26059.0,600368.225,23.06,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.15,2025-09-05,1.15,3079.0,3479.975,1.15,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,2025-09-05,0.088,350.0,30.8,0.088,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.03,2025-09-05,8.03,283400.0,2305499.25,8.03,OK_HIST,CACHE|HISTORICAL_CLOSE,,,,,,,
